# Vital wire-name registry recovered from GameClient.local.bin strings (2026-08-17 R38)
# hash = sum((i+1)*ord(c) for i,c in enumerate(name)) & 0xFFFF  (v141 protocol_name_id)
# Non-AV names only (AV* twins are client event-handler/wrapper classes, not wire names).
# id	name
0x60C6	Community_GetActorCommunityDataFromDBVital
0x6247	GSSS_GuildDataVitalRes
0x640A	ItemBindingUnLockVital
0x6416	CTimerMessageVital_GSGC
0x6545	CollectionBookVitalRes
0x6706	Equipment_ReceiveCandidateCastingItemVital
0x673C	CLearnSkillResultVital
0x6764	InstanceStatisticVital
0x6853	ItemSynthesisStopVital
0x6936	CHitParadeResetVital_JP
0x6CEC	Activity_CheatCodeVital
0x6D09	GSSS_GuildEventVitalReq
0x6D23	ItemBindingLockVitalRes
0x6D37	GSSS_GuildEventVitalRes
0x6D75	TreasureHunt_UpdateSceneTreasurePointVital
0x6E10	FingerGuessingGameVital
0x6E12	Community_SendMailVital
0x6E55	Pets_LearnPetSkillVital
0x6F03	LSCN_ReloginVerifyVital
0x6F24	TranslatePortalVitalReq
0x6F52	TranslatePortalVitalRes
0x6F6A	ItemMallGiftNotifyVital
0x709E	ReturnSelectServerVital
0x70D0	GuildStorageResultVital
0x71AD	Community_UpdateActorCommunityDataToDBVital
0x73DD	Community_SSRequestLetterInABottleDataVital
0x7593	CHitParadeActorDataVital
0x76A5	UpdateQuestMiscDataVital
0x76B9	Pets_UpdatePetsDataVital
0x76ED	Equipment_EmbedItemVital
0x7702	ItemMallGashaponDesVital
0x7709	ItemMallReceiveGiftVital
0x7711	Community_AddFriendVital
0x776C	ChangeEquipLevelVitalReq
0x779C	ChangeEquipLevelVitalRes
0x79D5	CAchievementsUpdateVital
0x79E4	Community_UpdateLetterInABottleDataToDBVital
0x79FF	CAchievementsRewardVital
0x7A94	NavigationEx_UseAddingMoraleItemResultVital
0x7F17	GCGS_GuildStorageCmdVital
0x7F5B	GSSS_GuildStorageCmdVital
0x7FB6	ActorActivity_UpdateDailyActivityStateVital
0x80A0	BuildingCrystal_ExtractCrystalFromSlotVital
0x8183	Community_DeleteMailVital
0x8189	Channel_GuildMessageVital
0x8230	ItemMallPersonalGiftVital
0x82C9	Activity_SendRankingVital
0x82E6	Channel_PartyMessageVital
0x83B1	ActorActivity_ResetDailyActivityResultVital
0x83B5	Pets_RestorePetAmityVital
0x845C	Pets_MergePetsResultVital
0x858C	Activity_NewActivityVital
0x862D	ItemTransformRequsetVital
0x8A7F	CollectionBookDataVitalRes
0x8B12	Pets_NotifySailorDeadVital
0x8B66	GCSS_GuildStorageOpenVital
0x8B93	GSCN_AskForSystemGiftVital
0x8BA8	Equipment_EnhanceItemVital
0x8BBF	ItemMallTokenExchangeVital
0x8BEB	GSSS_GuildUpdateEventVital
0x8C77	GM_RunGMCommandResultVital
0x8D16	Equipment_CastingItemVital
0x8D17	Activity_ActorCommandVital
0x8D30	GM_ForbidToTalkResultVital
0x8D5E	SwitchServerReplyVital_New
0x8DE6	Equipment_ExtractItemVital
0x8E17	KnowledgeGuru_NewQuizVital
0x8E24	Community_RequestorConfirmSoulMateMatchVital
0x8E98	BuildingCrystal_ExtractCrystalSucceededVital
0x8FB9	GetCollectionTreasureVital
0x9005	CHitParadeAvatarReqVital_JP
0x902B	CHitParadeAvatarResVital_JP
0x9090	ItemTransformResponseVital
0x957A	Community_AddBlackListVital
0x972E	Winemaking_LearnFomulaVital
0x974C	ItemMallCouponExchangeVital
0x98A1	Community_RemoveFriendVital
0x9B50	Pets_UpdatePetPropertyVital
0x9D87	GSSS_GSInitialGuildDataVital
0x9EE4	Community_GSRequestChangeFriendshipValueVital
0x9F2C	Channel_GMGlobalMessageVital
0xA1B3	DBSS_GuildStorageUpdateVital
0xA1E1	Express_GSAddNewExpressVital
0xA226	ItemMallNotifyToeknModeVital
0xA31A	GSCN_RetieiveSystemGiftVital
0xA3CD	BuildingCrystal_AddNutrientToCrystalSlotVital
0xA3D2	Equipment_DecomposeItemVital
0xA466	Pets_ChangePetEquipmentVital
0xAA3F	ActorActivity_ClientReportActivityResultVital
0xABA4	CollectionObj_CollectObjVital
0xAC52	Channel_LocalTalkMessageVital
0xAC9D	Channel_JoinClassChannelVital
0xAD1B	Community_ReceiveNewMailVital
0xAD7A	DBSS_GuildStorageInitialVital
0xAE66	SSConectionStatusChangedVital
0xAE8C	Channel_LocalPerformanceVital
0xAF5F	Community_SendSystemMailVital
0xAF60	Community_GetMailContentVital
0xAFF7	Gathering_StartGatheringVital
0xB014	CAchievementsSelectTitleVital
0xB96F	Pets_ClaimPetsMegringItemVital
0xB9E9	Community_RequestBeFriendVital
0xB9F0	ItemMallQueryPersonalDataVital
0xBA58	Channel_JoinCustomChannelVital
0xBA6D	Community_RemoveBlackListVital
0xBAE7	GCGSSS_GuildStorageResultVital
0xBB41	CAchievementsBoardcastReqVital
0xBB73	CAchievementsBoardcastResVital
0xBD0D	Express_ClientSendExpressVital
0xBD8E	Gathering_GatheringResultVital
0xBECD	Express_ResetExpressCountVital
0xC3D6	KnowledgeGuru_ActorUseCardVital
0xC45C	Pets_UpdatePetsMegringDataVital
0xC50E	ItemMallUpdatePersonalDataVital
0xC546	KnowledgeGuru_UseHalfProbabilityCardResultVital
0xC574	Pets_UpdateLearnedPetSkillVital
0xC641	Equipment_CastingThrowDiceVital
0xC663	Channel_LeaveCustomChannelVital
0xC723	NavigationEx_EnterInstanceVital
0xC84A	UpdateConditionalStoreItemVital
0xC8A7	GSCN_DrawComplimentaryItemVital
0xC8D5	Community_OpenPenpalLetterVital
0xC8EB	Winemaking_StartWinemakingVital
0xCA78	Activity_ActorJoinActivityVital
0xD1F8	Channel_ClassChannelMessageVital
0xD213	CollectionBookAppraisePieceVital
0xD2CC	GSSS_GuildUpdateQuestMemberVital
0xD339	BuildingCrystal_DoAbsorbingVital
0xD4D1	Winemaking_FinishWinemakingVital
0xD530	Equipment_EnhanceItemResultVital
0xD5A8	Express_ClientcClaimExpressVital
0xD607	CollectionBookAppraisalStopVital
0xD6CA	Activity_ActorLeaveActivityVital
0xD6CC	Community_ReplyPenpalLetterVital
0xD6F1	Express_GSSendSystemExpressVital
0xD72C	Community_ThrowPenpalLetterVital
0xD82D	Express_ClientRemoveExpressVital
0xDC99	Equipment_AddEnhanceMaxLevelVital
0xDCCD	Community_ChangeActorPenNameVital
0xE064	Channel_CustomChannelMessageVital
0xE0AC	SetItemOnParticularHotKeyPosVital
0xE13D	Community_UpdateActorVowLockVital
0xE16E	Winemaking_UpdateWindPotSlotVital
0xE1AB	Community_ChangeActorCommentVital
0xE21C	Equipment_RetriveCastingItemVital
0xE28A	Pets_UpdateSummonPetsTimeOutVital
0xE343	Equipment_EnhancemenTransferVital
0xE40B	TreasureHunt_StartExcavatingVital
0xE5C9	Activity_UpdateActivityPointVital
0xEBF8	Community_OpenLetterInABottleVital
0xEDFA	Channel_ActorBoardcastMessageVital
0xEE8D	Activity_ActivityStateChangedVital
0xEECE	Community_GetActorVowLockListVital
0xF1D4	KnowledgeGuru_ActorAnswerQuizVital
0xF247	Equipment_RefreshLuckyEnhancementProbabilityVital
0xF33F	TreasureHunt_ExcavatingResultVital
0xF375	Express_InitalizeActorExpressVital
0xF851	CollectionObj_GetCollectEffectVital
0xFA07	Channel_JoinOriginalSinChannelVital
0xFAF1	Community_ReplyLetterInABottleVital
0xFB51	Community_ThrowLetterInABottleVital
0xFD10	Community_RequestSoulMateMatchVital
0xFD4B	Community_UseBlankPenpalLetterVital


